activity,timeStamp,x,y,x
Downstairs,1.576566480014e+12,-0.14415741,1.0414658,-0.14415741
Downstairs,1.576566480082e+12,-0.1863266,1.3091873,-0.1863266
Downstairs,1.576566480271e+12,0.16769409,0.864946,0.16769409
Downstairs,1.576566480291e+12,0.065704346,0.8257202,0.065704346
Downstairs,1.576566480351e+12,-0.09316254,0.88652194,-0.09316254
Downstairs,1.576566480371e+12,-0.114738464,0.93163145,-0.114738464
Downstairs,1.576566480612e+12,-0.37167206,1.1885666,-0.37167206
Downstairs,1.576566480729e+12,0.117680356,1.168953,0.117680356
Downstairs,1.576566480846e+12,-0.07453003,0.9600708,-0.07453003
Downstairs,1.576566481183e+12,0.13435058,0.86298525,0.13435058
Downstairs,1.576566481243e+12,0.06766663,0.8708313,0.06766663
Downstairs,1.57656648148e+12,-0.13238983,1.1012863,-0.13238983
Downstairs,1.576566481659e+12,-0.09806671,0.6442963,-0.09806671
Downstairs,1.5765664818e+12,-0.21574707,0.8247391,-0.21574707
Downstairs,1.576566481839e+12,-0.11669922,1.1297257,-0.11669922
Downstairs,1.57656648194e+12,0.27360535,1.7338165,0.27360535
Downstairs,1.576566482136e+12,-0.048052978,0.5472107,-0.048052978
Downstairs,1.576566482432e+12,-0.3854019,1.3817565,-0.3854019
Downstairs,1.576566482492e+12,-0.18534546,1.2189667,-0.18534546
Downstairs,1.57656648263e+12,-0.012748718,0.72373044,-0.012748718
Downstairs,1.576566482671e+12,-0.060801696,0.6707748,-0.060801696
Downstairs,1.576566482749e+12,-0.13631287,0.71882784,-0.13631287
Downstairs,1.57656648273e+12,-0.12748718,0.6060516,-0.12748718
Downstairs,1.576566483107e+12,0.11081543,0.73844147,0.11081543
Downstairs,1.576566483245e+12,0.15984802,0.77570647,0.15984802
Downstairs,1.576566483304e+12,-0.17063598,0.83356476,-0.17063598
Downstairs,1.576566483542e+12,-0.081394956,1.1346298,-0.081394956
Downstairs,1.576566483582e+12,-0.06766663,0.8708313,-0.06766663
Downstairs,1.576566483602e+12,-0.08924103,0.8041458,-0.08924103
Downstairs,1.576566484098e+12,0.044129945,0.8286621,0.044129945
Downstairs,1.576566484138e+12,0.19907531,0.6031097,0.19907531
Downstairs,1.576566484218e+12,0.09316254,0.6629303,0.09316254
Downstairs,1.576566484236e+12,0.08825989,0.7001953,0.08825989
Downstairs,1.576566484259e+12,0.0578598,0.7766861,0.0578598
Downstairs,1.576566484297e+12,0.15690613,0.868869,0.15690613
Downstairs,1.576566484376e+12,0.012748718,0.9453613,0.012748718
Downstairs,1.576566484692e+12,-0.1284668,0.8551407,-0.1284668
Downstairs,1.57656648493e+12,-0.16278991,1.1414948,-0.16278991
Downstairs,1.57656648497e+12,0.29517975,1.2003342,0.29517975
Downstairs,1.57656648517e+12,0.11865997,0.61585695,0.11865997
Downstairs,1.576566485646e+12,-0.16278991,0.7619766,-0.16278991
Downstairs,1.576566485685e+12,-0.13140869,0.7845322,-0.13140869
Downstairs,1.576566485803e+12,-0.1500412,0.8012039,-0.1500412
Downstairs,1.576566485882e+12,-0.18240356,0.8982895,-0.18240356
Downstairs,1.576566485902e+12,-0.050994873,1.0042007,-0.050994873
Downstairs,1.576566485981e+12,0.16573182,1.295459,0.16573182
Downstairs,1.57656648606e+12,0.06766663,1.2758453,0.06766663
Downstairs,1.576566486264e+12,0.06766663,0.8080673,0.06766663
Downstairs,1.576566486716e+12,-0.14219666,0.78649294,-0.14219666
Downstairs,1.576566486952e+12,0.1892685,1.2121017,0.1892685
Downstairs,1.57656648719e+12,0.02745819,0.63252866,0.02745819
Downstairs,1.57656648729e+12,0.17848054,0.912999,0.17848054
Downstairs,1.576566487419e+12,-0.30694884,1.1022675,-0.30694884
Downstairs,1.576566487449e+12,-0.39030457,1.7269516,-0.39030457
Downstairs,1.576566487566e+12,-0.20201722,1.1758178,-0.20201722
Downstairs,1.576566487626e+12,-0.050994873,0.742363,-0.050994873
Downstairs,1.576566487727e+12,-0.06374359,0.7453049,-0.06374359
Downstairs,1.576566487765e+12,-0.34127197,0.82670134,-0.34127197
Downstairs,1.576566487784e+12,-0.38049775,0.8012039,-0.38049775
Downstairs,1.576566488164e+12,0.032362364,0.8090485,0.032362364
Downstairs,1.576566488201e+12,0.052955627,0.67960054,0.052955627
Downstairs,1.576566488875e+12,-0.33146515,1.080693,-0.33146515
Downstairs,1.57656648937e+12,0.12356415,0.7041168,0.12356415
Downstairs,1.576566489491e+12,-0.019613648,0.9826263,-0.019613648
Downstairs,1.576566489569e+12,0.38246003,1.3984283,0.38246003
Downstairs,1.576566489593e+12,0.17553863,1.3984283,0.17553863
Downstairs,1.576566489689e+12,-0.0823761,1.1159973,-0.0823761
Downstairs,1.576566489827e+12,-0.13042907,0.8384689,-0.13042907
Downstairs,1.576566489925e+12,-0.017651368,0.86004335,-0.017651368
Downstairs,1.576566490007e+12,-0.062762454,0.73942107,-0.062762454
Downstairs,1.576566490066e+12,-0.13337097,0.7815903,-0.13337097
Downstairs,1.576566490322e+12,0.16769409,1.466095,0.16769409
Downstairs,1.576566490342e+12,0.11179657,1.4749206,0.11179657
Downstairs,1.576566490698e+12,0.065704346,0.8041458,0.065704346
Downstairs,1.576566491016e+12,-0.06472321,0.6629303,-0.06472321
Downstairs,1.576566491035e+12,-0.10885315,0.6805817,-0.10885315
Downstairs,1.576566491116e+12,-0.032362364,0.7737442,-0.032362364
Downstairs,1.576566491254e+12,-0.1039505,1.2591736,-0.1039505
Downstairs,1.576566491888e+12,0.06178131,0.8708313,0.06178131
Downstairs,1.576566491987e+12,-0.014709473,0.7453049,-0.014709473
Downstairs,1.576566492206e+12,0.17455903,1.2562317,0.17455903
Downstairs,1.576566492255e+12,0.16377106,1.3572403,0.16377106
Downstairs,1.576566492484e+12,0.06766663,0.6756775,0.06766663
Downstairs,1.57656649292e+12,-0.13140869,0.8021835,-0.13140869
Downstairs,1.576566493317e+12,0.101989746,0.6021286,0.101989746
Downstairs,1.576566493713e+12,0.06472321,0.92084503,0.06472321
Downstairs,1.576566493932e+12,0.0578598,0.660968,0.0578598
Downstairs,1.576566494069e+12,-0.15690613,1.0650024,-0.15690613
Downstairs,1.576566494089e+12,0.08335724,1.3376267,0.08335724
Downstairs,1.576566494783e+12,-0.07256927,0.83258516,-0.07256927
Downstairs,1.576566495021e+12,0.056878664,1.19543,0.056878664
Downstairs,1.576566495318e+12,0.120622255,0.76393735,0.120622255
Downstairs,1.576566495378e+12,0.23634033,0.9522263,0.23634033
Downstairs,1.576566495754e+12,0.013729858,0.8551407,0.013729858
Downstairs,1.576566495836e+12,-0.07355042,0.705098,-0.07355042
Downstairs,1.576566495935e+12,-0.0039230348,1.3180145,-0.0039230348
Downstairs,1.576566496094e+12,0.10493164,1.1414948,0.10493164
Downstairs,1.576566496132e+12,0.030400086,0.660968,0.030400086
Downstairs,1.57656649627e+12,-0.012748718,0.7894348,-0.012748718
Downstairs,1.576566496369e+12,0.1647522,0.8394486,0.1647522
Downstairs,1.576566496745e+12,-0.06472321,0.8139526,-0.06472321
Downstairs,1.576566496964e+12,-0.42953187,1.3278198,-0.42953187
Downstairs,1.576566497103e+12,-0.13729247,1.19543,-0.13729247
Downstairs,1.576566497222e+12,-0.12258301,0.8041458,-0.12258301
Downstairs,1.5765664975e+12,0.043148804,0.9845871,0.043148804
Downstairs,1.576566497485e+12,0.16377106,0.8531784,0.16377106
Downstairs,1.576566497855e+12,-0.12258301,0.8835785,-0.12258301
Downstairs,1.576566497975e+12,-0.010787964,0.76295775,-0.010787964
Downstairs,1.576566497995e+12,-0.07551117,0.7119629,-0.07551117
Downstairs,1.576566498133e+12,-0.25595397,0.83258516,-0.25595397
Downstairs,1.576566498157e+12,-0.19319153,0.82964325,-0.19319153
Downstairs,1.576566498391e+12,-0.038246155,0.9600708,-0.038246155
Downstairs,1.576566498529e+12,0.0049026487,0.42756957,0.0049026487
Downstairs,1.576566498631e+12,0.4344345,0.8786758,0.4344345
Downstairs,1.576566499362e+12,0.3118515,1.5141464,0.3118515
Downstairs,1.576566499389e+12,0.07355042,1.3562591,0.07355042
Downstairs,1.57656649952e+12,0.094143674,0.53152007,0.094143674
Downstairs,1.576566499799e+12,-0.29812163,1.3533173,-0.29812163
Downstairs,1.576566499838e+12,-0.51582944,1.871109,-0.51582944
