activity,timeStamp,x,y,z,,,
Walking,1.58E+12,0.45699006,1.366066,-0.12356415,20,,
Walking,1.58E+12,0.5501526,1.336647,-0.20201722,20,,
Walking,1.58E+12,0.49131316,1.2748642,-0.23928222,20,,
Walking,1.58E+12,0.34715575,1.2258316,-0.21672669,20,,
Walking,1.58E+12,0.21084289,1.1866043,-0.13533172,40,,
Walking,1.58E+12,0.13827363,1.039505,-0.0578598,7,,
Walking,1.58E+12,0.062762454,0.75609285,-0.021574402,32,,
Walking,1.58E+12,0.04020691,0.7217697,-0.014709473,19,,
Walking,1.58E+12,-0.021574402,0.6580261,-0.032362364,20,,
Walking,1.58E+12,-0.025497437,0.51484984,-0.06472321,41,,
Walking,1.58E+12,0.036283873,0.5030807,-0.03432312,19,,
Walking,1.58E+12,0.11865997,0.63252866,0.23732147,40,,
Walking,1.58E+12,0.09610443,0.7472671,0.38049775,61,,
Walking,1.58E+12,0.08335724,0.86298525,0.43345338,11,,
Walking,1.58E+12,0.41089934,1.1777786,0.49719697,10,,
Walking,1.58E+12,0.5030807,1.3709701,0.48641053,15,,
Walking,1.58E+12,0.38442078,1.3680283,0.45012513,20,,
Walking,1.58E+12,0.3520584,1.1787598,0.42855072,42,,
Walking,1.58E+12,0.41678315,1.1365906,0.47169954,9,,
Walking,1.58E+12,0.35990447,1.3876404,-0.1892685,30,,
Walking,1.58E+12,0.3363678,1.4847275,-0.5099457,19,,
Walking,1.58E+12,0.15690613,1.1973922,-0.415802,19,,
Walking,1.58E+12,0.0578598,0.93163145,-0.22555237,22,,
Walking,1.58E+12,-0.12748718,0.91005707,-0.24810791,38,,
Walking,1.58E+12,-0.18044281,1.0473496,-0.23830108,24,,
Walking,1.58E+12,0.117680356,0.83552706,-0.09120178,35,,
Walking,1.58E+12,0.2853729,0.698233,0.025497437,21,,
Walking,1.58E+12,0.19024964,0.73647916,-0.00098114,40,,
Walking,1.58E+12,0.09218292,0.8747528,-0.0460907,19,,
Walking,1.58E+12,0.03432312,0.9228058,-0.051974487,38,,
Walking,1.58E+12,0.025497437,0.8884827,0.012748718,8,,
Walking,1.58E+12,0.04216919,0.8580826,0.07355042,34,,
Walking,1.58E+12,0.04903259,0.8747528,0.071588136,12,,
Walking,1.58E+12,0.030400086,0.9012314,0.04020691,27,,
Walking,1.58E+12,0.020593261,0.9600708,0.06178131,9,,
Walking,1.58E+12,-0.009806824,1.1326675,0.0794342,31,,
Walking,1.58E+12,-0.0823761,1.1797394,0.078453064,19,,
Walking,1.58E+12,-0.21084289,1.206218,0.08041382,19,,
Walking,1.58E+12,-0.24124297,1.291536,0.16769409,41,,
Walking,1.58E+12,-0.13925476,1.2934967,0.07747193,18,,
Walking,1.58E+12,-0.013729858,1.1767975,-0.028439332,20,,
Walking,1.58E+12,0.025497437,1.0453888,-0.121601865,21,,
Walking,1.58E+12,0.02745819,1.3238983,-0.15102234,39,,
Walking,1.58E+12,0.2539917,1.4151001,-0.26968232,20,,
Walking,1.58E+12,0.52171326,1.3690078,-0.27654725,20,,
Walking,1.58E+12,0.6011475,1.2934967,-0.18436432,22,,
Walking,1.58E+12,0.23732147,1.1267837,-0.016671753,40,,
Walking,1.58E+12,0.09610443,0.9816452,0.003923035,22,,
Walking,1.58E+12,-0.008825684,0.7609955,0.011767578,35,,
Walking,1.58E+12,-0.039227296,0.73647916,-0.010787964,19,,
Walking,1.58E+12,-0.056878664,0.6884262,-0.04903259,20,,
Walking,1.58E+12,-0.037265014,0.6001663,-0.065704346,20,,
Walking,1.58E+12,0.022555541,0.505043,0.001960754,39,,
Walking,1.58E+12,0.08531799,0.5570175,0.09218292,20,,
Walking,1.58E+12,0.17259674,0.7649185,0.3579422,39,0,
Walking,1.58E+12,0.27654725,0.91005707,0.43149263,22,22,0.022
Walking,1.58E+12,0.34715575,1.0895188,0.5099457,23,45,0.045
Walking,1.58E+12,0.4560089,1.2630966,0.5295593,35,80,0.08
Walking,1.58E+12,0.47169954,1.3091873,0.505043,9,89,0.089
Walking,1.58E+12,0.4344345,1.1679718,0.45110625,30,119,0.119
Walking,1.58E+12,0.40207213,1.2876129,0.45012513,21,140,0.14
Walking,1.58E+12,0.29616088,1.3915634,0.15494537,19,159,0.159
Walking,1.58E+12,0.28047028,1.4170609,-0.35892335,22,181,0.181
Walking,1.58E+12,0.13729247,1.2268112,-0.48542938,19,200,0.2
Walking,1.58E+12,0.07060852,0.96105194,-0.30498657,38,238,0.238
Walking,1.58E+12,0.02942047,0.8286621,-0.18240356,12,250,0.25
Walking,1.58E+12,0.017651368,0.84239197,-0.19417115,28,278,0.278
Walking,1.58E+12,-0.06472321,0.9855682,-0.21966858,7,285,0.285
Walking,1.58E+12,0.059820555,0.9188827,-0.0823761,34,319,0.319
Walking,1.58E+12,0.17161712,0.75609285,0.04903259,18,337,0.337
Walking,1.58E+12,0.21476594,0.6384125,0.059820555,20,357,0.357
